id,prefix,LSSIN,SKU,marketplace_id,gl,gl_description,item_name,variance_type,variance,image,description,color_name,material_type,msrp,msrp_tax_amount,category_id,category_name,subcategory_id,subcategory_name,brand_id,brand_name,number_of_items,hts_code,parent_lssin,is_base_product,size,unit_of_measurement,country_of_origin,care_instructions,is_vintage,is_pre_order
497,LS,LS497,,1,1,gl_dining,Castelo Branco Bread Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at6.49.12PM.png?v=1663717870,,Blue,Porcelain,615,516.6,1,dinnerware,6,bread_plates,10,Vista Alegre,1,,,,17,cm,Portugal,Microwave and dishwasher safe,,
498,LS,LS498,,1,1,gl_dining,Herbariae Bread Plate,Size,19 cm,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at6.39.39PM.png?v=1663717393,,Black,Porcelain,1066,895.44,1,dinnerware,6,bread_plates,10,Vista Alegre,1,,,,19,cm,Portugal,Microwave and dishwasher safe,,
499,LS,LS499,,1,1,gl_dining,Herbariae Bread Plate,Size,16 cm,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at6.39.51PM.png?v=1663717393,,Black,Porcelain,1011,849.24,1,dinnerware,6,bread_plates,10,Vista Alegre,1,,,,16,cm,Portugal,Microwave and dishwasher safe,,
500,LS,LS500,,1,1,gl_dining,Nymphea Bread Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at6.33.27PM.png?v=1663717060,,White,Porcelain,695,583.8,1,dinnerware,6,bread_plates,9,Royal Limoges,1,,,,16,cm,France,Microwave and dishwasher safe,,
501,LS,LS501,,1,1,gl_dining,Utopia Bread Plate,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at6.16.10PM.png?v=1663715884,,White,Porcelain,384,322.56,1,dinnerware,6,bread_plates,10,Vista Alegre,1,,,,17,cm,Portugal,Microwave and dishwasher safe,,
502,LS,LS502,,1,1,gl_dining,Utopia Broth Cup & Saucer,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-20at5.51.10PM.png?v=1663714387,,White,Porcelain,1011,849.24,1,dinnerware,37,broth_cup,10,Vista Alegre,1,,,,17 x 5.8 ,cm,Portugal,Microwave and dishwasher safe,,
503,LS,LS503,,1,1,gl_dining,Emerald Bowl,Title,Default Title,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-09-19at11.47.24AM.png?v=1663625408,,Emerald Green,Porcelain,2650,2226,1,dinnerware,5,bowls,10,Vista Alegre,1,,,,15,cm,Portugal,Not suitable for microwave or dishwasher use,,
504,LS,LS504,,1,1,gl_dining,Maria Flor Bowl,Color,Dahlia,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-10-12at4.17.47PM.png?v=1665609582,,Dahlia,Ceramic,779,654.36,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,15.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
505,LS,LS505,,1,1,gl_dining,Maria Flor Bowl,Color,Hollyhock,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-10-12at4.19.08PM.png?v=1665609582,,Hollyhock,Ceramic,779,654.36,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,15.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
506,LS,LS506,,1,1,gl_dining,Maria Flor Bowl,Color,Daisy,https://cdn.shopify.com/s/files/1/0508/0861/9187/products/ScreenShot2022-10-12at4.18.52PM.png?v=1665609582,,Daisy,Ceramic,779,654.36,1,dinnerware,5,bowls,6,Bordallo Pinheiro,1,,,,15.5,cm,Portugal,Microwave and dishwasher safe (moderate use),,
